timestamp,A,B,C,Yaw
20901,1084,,,
20937,,1076,,
20973,,,5,
21009,,,,-53
21045,1084,,,
21081,,1076,,
21117,,,5,
21153,,,,-53
21189,1084,,,
21225,,1076,,
21261,,,5,
21297,,,,-53
21333,1084,,,
21369,,1076,,
21405,,,5,
21441,,,,-53
21477,1084,,,
21513,,1076,,
21549,,,5,
21585,,,,-53
21621,1084,,,
21657,,1076,,
21693,,,5,
21729,,,,-53
21765,1084,,,
21801,,1076,,
21837,,,5,
21874,,,,-53
21911,1084,,,
21947,,1076,,
21983,,,5,
22019,,,,-53
22055,1078,,,
22091,,1064,,
22127,,,5,
22163,,,,-54
22199,1040,,,
22235,,1020,,
22271,,,5,
22307,,,,-55
22343,989,,,
22379,,973,,
22415,,,5,
22451,,,,-56
22487,948,,,
22523,,940,,
22559,,,5,
22595,,,,-57
22631,916,,,
22667,,908,,
22703,,,5,
22739,,,,-58
22775,875,,,
22811,,865,,
22847,,,5,
22883,,,,-58
22919,827,,,
22955,,821,,
22991,,,5,
23027,,,,-58
23063,791,,,
23099,,786,,
23135,,,4,
23171,,,,-59
23207,757,,,
23243,,751,,
23279,,,4,
23315,,,,-59
23351,717,,,
23387,,709,,
23423,,,4,
23459,,,,-59
23495,676,,,
23531,,668,,
23567,,,4,
23603,,,,-59
23639,636,,,
23675,,630,,
23711,,,4,
23747,,,,-60
23783,599,,,
23819,,591,,
23855,,,3,
23891,,,,-59
23927,561,,,
23963,,553,,
23999,,,3,
24035,,,,-60
24071,522,,,
24107,,514,,
24143,,,3,
24179,,,,-60
24215,480,,,
24251,,473,,
24287,,,3,
24323,,,,-60
24359,440,,,
24395,,434,,
24431,,,3,
24467,,,,-60
24503,406,,,
24539,,397,,
24575,,,3,
24611,,,,-60
24647,368,,,
24683,,360,,
24719,,,2,
24755,,,,-59
24791,355,,,
24827,,358,,
24863,,,3,
24899,,,,-59
24935,362,,,
24971,,361,,
25007,,,3,
25043,,,,-59
25079,357,,,
25115,,356,,
25151,,,3,
25187,,,,-59
25223,356,,,
25259,,357,,
25295,,,2,
25331,,,,-59
25367,356,,,
25403,,356,,
25439,,,3,
25475,,,,-59
25511,356,,,
25547,,356,,
25583,,,3,
25619,,,,-59
25655,356,,,
25691,,356,,
25727,,,3,
25763,,,,-59
25799,356,,,
25835,,356,,
25871,,,3,
25908,,,,-59
25944,356,,,
25980,,356,,
26016,,,3,
26052,,,,-59
26088,356,,,
26124,,356,,
26160,,,2,
26196,,,,-59
26232,356,,,
26268,,356,,
26304,,,2,
26340,,,,-59
26376,356,,,
26412,,356,,
26448,,,3,
26484,,,,-59
26520,356,,,
26557,,356,,
26593,,,3,
26629,,,,-59
26665,356,,,
26701,,356,,
26737,,,3,
26773,,,,-59
26809,356,,,
26845,,356,,
26881,,,3,
26917,,,,-59
26953,356,,,
26989,,356,,
27026,,,3,
27062,,,,-59
27098,356,,,
27134,,356,,
27170,,,3,
27206,,,,-59
27242,356,,,
27278,,356,,
27314,,,3,
27350,,,,-59
27386,356,,,
27422,,356,,
27459,,,3,
27496,,,,-59
27532,356,,,
27568,,356,,
27604,,,3,
27640,,,,-59
27676,356,,,
27712,,356,,
27748,,,3,
27784,,,,-59
27820,356,,,
27856,,356,,
27892,,,3,
27928,,,,-59
27964,356,,,
28000,,356,,
28036,,,3,
28072,,,,-59
28108,356,,,
28144,,356,,
28180,,,3,
28216,,,,-59
28252,356,,,
28288,,356,,
28324,,,3,
28360,,,,-59
28396,356,,,
28432,,356,,
28468,,,3,
28504,,,,-59
28540,356,,,
28576,,356,,
28612,,,3,
28648,,,,-59
28684,356,,,
28720,,356,,
28756,,,3,
28793,,,,-59
28829,356,,,
28865,,356,,
28901,,,3,
28937,,,,-59
28973,356,,,
29009,,356,,
29046,,,3,
29082,,,,-59
29118,356,,,
29154,,356,,
29190,,,2,
29226,,,,-59
29262,356,,,
29298,,356,,
29334,,,3,
29370,,,,-59
29406,356,,,
29442,,357,,
29478,,,3,
29514,,,,-59
29550,356,,,
29586,,356,,
29622,,,3,
29658,,,,-59
29694,356,,,
29730,,356,,
29766,,,3,
29802,,,,-59
29838,356,,,
29874,,356,,
29910,,,3,
29946,,,,-59
29982,356,,,
30018,,356,,
30054,,,2,
30090,,,,-59
30126,356,,,
30162,,356,,
30198,,,3,
30234,,,,-59
30270,356,,,
30306,,356,,
30342,,,2,
30378,,,,-59
30414,356,,,
30450,,356,,
30486,,,2,
30522,,,,-59
30559,356,,,
30596,,356,,
30632,,,3,
30668,,,,-59
30704,356,,,
30740,,356,,
30776,,,3,
30812,,,,-59
30848,356,,,
30884,,356,,
30920,,,3,
30956,,,,-59
30992,356,,,
31028,,356,,
31064,,,3,
31100,,,,-59
31136,356,,,
31172,,356,,
31208,,,2,
31244,,,,-59
31280,356,,,
31316,,356,,
31352,,,3,
31388,,,,-59
31424,356,,,
31461,,356,,
31497,,,2,
31533,,,,-59
31569,356,,,
31605,,356,,
31641,,,2,
31677,,,,-59
31714,356,,,
31750,,356,,
